#separator:tab
#html:true
#guid column:1
#notetype column:2
#deck column:3
#tags column:13
Br40>`X0KV	A Dictionary of Japanese Grammar	Dictionaries of Japanese Grammar Sentences::1 - Basic	これは本だ・です。	これは本だ・です。	This is a book.	は～だ	Someone or something is/was someone or something or is/was in some state, or will do/does/did something.	[sound:naverclovapremium-2c41a352-57602e37-13af7026-785c5f72-17d17fca.mp3]	Basic	521		basic
"L,Q#0-RSZ8"	A Dictionary of Japanese Grammar	Dictionaries of Japanese Grammar Sentences::1 - Basic	コンサートは八時からだ・です。	コンサートは八時からだ・です。	The concert is from eight o'clock.	は～だ	Someone or something is/was someone or something or is/was in some state, or will do/does/did something.	[sound:vocalware-79796fce-b7e148ab-31af6b48-8f7dd120-19059232.mp3]	Basic	521		basic
j<C.U^l*)|	A Dictionary of Japanese Grammar	Dictionaries of Japanese Grammar Sentences::1 - Basic	あの人は先生だ。	あの人は先生だ。	That person is a teacher.	は～だ	Someone or something is/was someone or something or is/was in some state, or will do/does/did something.	 [sound:naverclovapremium-cfe4dd06-83a2599c-46f2961d-445c5392-311d4814.mp3]	Basic	521		basic
v6Io5S(KwN	A Dictionary of Japanese Grammar	Dictionaries of Japanese Grammar Sentences::1 - Basic	私はジョーンズです。	私はジョーンズです。	I am Jones.	は～だ	Someone or something is/was someone or something or is/was in some state, or will do/does/did something.	 [sound:naverclovapremium-7ea3c5e7-eb11edfc-e3f6c0fe-a8bda75d-af241250.mp3]	Basic	521		basic
dKi:![8_M	A Dictionary of Japanese Grammar	Dictionaries of Japanese Grammar Sentences::1 - Basic	授業は四時までです。	授業は 四時[よじ]までです。	My classes are till four o'clock.	は～だ	Someone or something is/was someone or something or is/was in some state, or will do/does/did something.	 [sound:vocalware-248a9db7-99201204-e3370e31-290a932d-2208a842.mp3]	Basic	521		basic
ysjkdjaX7Q	A Dictionary of Japanese Grammar	Dictionaries of Japanese Grammar Sentences::1 - Basic	今度の試合はワシントン大学とだ。	今度の試合はワシントン大学とだ。	The next game is against the University of Washington.	は～だ	Someone or something is/was someone or something or is/was in some state, or will do/does/did something.	 [sound:azure-22ffa572-29f6a540-b80080b7-7a8dd790-77827da3.mp3]	Basic	521		basic
j:7cF/haQh	A Dictionary of Japanese Grammar	Dictionaries of Japanese Grammar Sentences::1 - Basic	雨が降っている・います。	雨が降っている・います。	Rain is falling.	が	A particle which indicates the subject.	[sound:vocalware-ccce1da4-86b3e049-f47a0fdc-7911b0fe-fc8303ee.mp3]	Basic	118		basic
/(F?EsaP%	A Dictionary of Japanese Grammar	Dictionaries of Japanese Grammar Sentences::1 - Basic	私の部屋にはステレオがあります。	私の部屋にはステレオがあります。	There is a stereo in my room.	が	A particle which indicates the subject.	 [sound:naverclovapremium-28fc4586-7d7ec6eb-7e4d0202-f8d7847e-c1b0e9d3.mp3]	Basic	118		basic
o(x2w1iu0F	A Dictionary of Japanese Grammar	Dictionaries of Japanese Grammar Sentences::1 - Basic	あ、のり子が走っている。	あ、のり子が走っている。	Oh, Noriko is running.	が	A particle which indicates the subject.	 [sound:azure-94e8c036-257018a1-07add0ef-0d986816-109eb117.mp3]	Basic	118		basic
wbcKWlN{p=	A Dictionary of Japanese Grammar	Dictionaries of Japanese Grammar Sentences::1 - Basic	A:このレストランは何が美味しいですか。B:ステーキが美味しいです。	A:このレストランは何が 美味[おい]しいですか。<div>B:ステーキが美味しいです。</div>	A: What is good in this restaurant?<div>B: Steak is good.</div>	が	A particle which indicates the subject.	[sound:amazon-5ae85ce5-2949c03a-430c0242-b746c156-02263433.mp3][sound:naverclovapremium-4a17b2ff-c72afef3-3d9b0e7e-35d4df18-198d8fb4.mp3]	Basic	118	美味しい - おいしい - delicious, tasty	basic
i[c,:DBuT!	A Dictionary of Japanese Grammar	Dictionaries of Japanese Grammar Sentences::1 - Basic	坂本さんは煙草を吸わない・吸いませんね。	坂本[さかもと]さんは煙草を吸わない・吸いませんね。	Mr. Sakamoto doesn't smoke, does he? / Mr. Sakamoto, you don't  smoke, do you?	ね	English tag question (such as isn’t it?; is it?; don’t you?; do you?); you know | A sentence final particle that indicates the speaker’s request for confirmation or agreement from the hearer about some shared knowledge	[sound:naverclovapremium-c5ea8981-74692579-412afc4b-dad7d32e-4a7a5987.mp3]	Basic	286		basic
K;b?]-pcok	A Dictionary of Japanese Grammar	Dictionaries of Japanese Grammar Sentences::1 - Basic	A:今日はいい天気ですね。 B:本当にそうですね。	A:今日はいい天気ですね。&nbsp;<div>B:本当にそうですね。</div>	A: Today is a fine day, isn't it? &nbsp;&nbsp;<div>B: Isn't it!</div>	ね	English tag question (such as isn’t it?; is it?; don’t you?; do you?); you know | A sentence final particle that indicates the speaker’s request for confirmation or agreement from the hearer about some shared knowledge	[sound:azure-c74622e4-f16c9f8b-d9795218-6b002909-5701b92c.mp3][sound:amazon-6b4a9f70-f2c22bbb-3adc4dee-2c6bd230-24495959.mp3]	Basic	286		basic
j`<kjHF3.u	A Dictionary of Japanese Grammar	Dictionaries of Japanese Grammar Sentences::1 - Basic	あなたは学生ですね。	あなたは学生ですね。	You are a student, aren't you?	ね	English tag question (such as isn’t it?; is it?; don’t you?; do you?); you know | A sentence final particle that indicates the speaker’s request for confirmation or agreement from the hearer about some shared knowledge	 [sound:naverclovapremium-26014689-b6eab6bf-2fdd3abd-80cda12b-78292823.mp3]	Basic	286		basic
jf*j,^c8N.	A Dictionary of Japanese Grammar	Dictionaries of Japanese Grammar Sentences::1 - Basic	パーティーにいらっしゃいますね。	パーティーにいらっしゃいますね。	You are going to the party, aren't you?	ね	English tag question (such as isn’t it?; is it?; don’t you?; do you?); you know | A sentence final particle that indicates the speaker’s request for confirmation or agreement from the hearer about some shared knowledge	 [sound:naverclovapremium-d6ad2ce0-f12e60ef-11cad7fa-1fda7e9b-5353a7b9.mp3]	Basic	286		basic
vbd@)Y,G]O	A Dictionary of Japanese Grammar	Dictionaries of Japanese Grammar Sentences::1 - Basic	私も明日のパーティーに行くわ。	私も明日のパーティーに行くわ。	I'll go to tomorrow's party, too.	わ	A sentence final particle used in weak assertive or volitional sentences by a female speaker.	 [sound:naver-6dcf8c3a-a97715c7-dd862813-e109e1c4-0b26c43a.mp3]	Basic	520		basic
"P#kH^gZ-IP"	A Dictionary of Japanese Grammar	Dictionaries of Japanese Grammar Sentences::1 - Basic	大木さんはもう帰りましたわ。	大木[おおき]さんはもう帰りましたわ。	Mr. Ooki has already gone home.	わ	A sentence final particle used in weak assertive or volitional sentences by a female speaker.	[sound:azure-43a60156-c4986b71-101f8306-08de8b3c-9789a18a.mp3]	Basic	520		basic
